Unnamed: 0,Activity,Start,End,Day,user_id
8,2,14:50,17:15,1,12
9,3,17:15,17:25,1,12
10,2,17:45,19:45,1,12
11,6,19:45,20:15,1,12
12,7,20:15,23:00,1,12
13,1,23:00,23:55,1,12
14,0,23:55,06:55,1,12
15,1,06:55,07:05,2,12
16,5,07:25,07:45,2,12
17,5,07:50,08:10,2,12
18,6,08:15,08:20,2,12
19,3,08:25,08:35,2,12
20,9,10:20,10:35,1,12
21,6,10:20,10:35,1,12
22,6,11:00,11:05,1,12
23,9,13:35,13:55,1,12
24,6,17:30,17:45,1,12
25,12,22:55,23:00,1,12
26,12,07:20,07:25,2,12
27,12,08:10,08:15,2,12
0,3,10:00,13:00,1,13
1,6,13:00,14:30,1,13
2,3,14:30,18:30,1,13
3,2,19:00,20:00,1,13
4,6,20:00,21:00,1,13
5,2,21:30,23:30,1,13
6,0,23:30,07:40,1,13
0,3,10:16,10:19,1,14
1,3,10:47,10:58,1,14
2,7,10:16,10:58,1,14
3,2,11:10,12:55,1,14
4,7,11:15,12:50,1,14
5,3,13:00,13:35,1,14
6,7,13:55,15:00,1,14
7,1,14:47,15:33,1,14
8,7,15:45,19:30,1,14
9,3,18:16,18:18,1,14
10,3,19:31,19:59,1,14
11,7,20:00,21:30,1,14
12,8,21:40,23:38,1,14
13,0,00:00,07:00,2,14
14,7,07:20,07:49,2,14
15,3,08:06,08:14,2,14
16,3,08:37,08:42,2,14
17,7,08:07,08:50,2,14
18,6,13:37,14:02,1,14
19,6,17:47,17:54,1,14
20,6,21:40,21:58,1,14
21,6,07:33,07:41,2,14
22,12,23:40,23:45,1,14
0,3,10:00,13:00,1,15
1,3,15:00,18:00,1,15
2,5,19:00,21:00,1,15
3,0,22:30,07:30,1,15
4,6,07:30,07:40,1,15
5,6,13:30,14:00,1,15
6,9,13:30,14:00,1,15
7,6,22:00,22:30,1,15
8,12,22:00,22:10,1,15
9,12,07:35,07:45,2,15
0,3,10:05,10:20,1,16
1,6,10:20,10:30,1,16
2,2,11:10,13:50,1,16
3,3,10:50,11:10,1,16
4,6,13:50,14:10,1,16
5,3,14:30,15:00,1,16
6,1,15:00,15:40,1,16
7,3,16:00,20:00,1,16
8,3,20:00,20:30,1,16
9,6,21:00,21:30,1,16
10,8,21:30,23:30,1,16
11,3,00:20,00:35,2,16
12,0,00:40,08:05,2,16
13,6,08:25,08:30,2,16
14,9,10:20,10:30,1,16
15,9,13:50,14:10,1,16
16,6,00:00,00:30,2,16
17,12,23:30,23:40,1,16
18,12,08:15,08:25,2,16
0,3,10:15,12:40,1,17
1,6,13:20,14:00,1,17
2,3,15:00,18:06,1,17
3,3,18:06,18:25,1,17
4,2,18:34,18:35,1,17
5,3,18:53,19:00,1,17
6,5,19:30,20:40,1,17
7,6,21:00,21:25,1,17
8,3,21:30,21:55,1,17
9,6,22:25,22:35,1,17
10,8,22:25,24:00,1,17
11,0,00:18,06:04,2,17
12,1,06:04,06:53,2,17
13,6,07:10,07:21,2,17
14,3,08:00,08:10,2,17
15,2,08:15,08:30,2,17
16,3,08:35,08:55,2,17
17,9,13:20,14:00,1,17
18,6,16:10,16:15,1,17
19,6,18:06,18:10,1,17
20,6,22:25,22:35,1,17
21,9,07:10,07:21,2,17
22,12,00:05,00:10,2,17
23,12,06:55,07:03,2,17
0,2,10:10,10:30,1,18
1,7,10:30,13:15,1,18
2,6,13:15,13:30,1,18
3,7,13:30,13:50,1,18
4,0,13:50,15:15,1,18
5,7,15:15,19:30,1,18
6,2,19:30,20:00,1,18
7,2,20:00,23:00,1,18
8,2,23:00,23:20,1,18
9,6,23:20,23:30,1,18
10,7,23:30,24:00,1,18
11,7,00:01,00:15,2,18
12,0,00:30,03:45,2,18
13,0,04:00,07:10,2,18
14,7,07:10,07:30,2,18
15,6,07:45,08:00,2,18
16,3,08:00,08:30,2,18
17,2,08:30,09:00,2,18
18,11,20:00,21:00,1,18
19,9,07:45,08:00,2,18
20,12,00:15,00:30,2,18
21,12,03:45,04:00,2,18
22,12,07:30,07:45,2,18
0,3,10:00,13:00,1,19
1,6,13:00,13:40,1,19
2,2,13:40,14:30,1,19
3,3,14:30,15:00,1,19
4,2,15:00,15:10,1,19
5,6,15:40,15:45,1,19
6,7,15:45,17:20,1,19
7,8,17:25,18:30,1,19
8,2,18:30,18:55,1,19
9,7,18:55,19:30,1,19
10,3,19:30,19:50,1,19
11,3,19:55,20:10,1,19
12,6,20:45,21:25,1,19
13,2,21:30,21:55,1,19
14,1,22:00,22:45,1,19
15,0,22:45,08:20,1,19
16,3,08:50,09:10,2,19
17,6,15:40,15:45,1,19
18,6,19:35,19:40,1,19
19,12,21:55,22:00,1,19
20,12,08:35,08:40,2,19
0,2,10:00,10:20,1,2
1,6,13:05,13:25,1,2
2,6,13:38,13:40,1,2
3,9,13:38,13:40,1,2
4,2,13:55,14:00,1,2
5,3,15:00,15:10,1,2
6,4,17:28,17:45,1,2
7,2,17:55,18:00,1,2
8,7,18:00,18:30,1,2
9,3,18:30,19:30,1,2
10,3,20:06,20:17,1,2
11,8,20:30,21:00,1,2
12,6,20:30,21:00,1,2
13,7,21:00,21:55,1,2
14,2,21:56,22:00,1,2
15,7,22:00,23:15,1,2
16,2,00:00,00:10,2,2
17,1,00:45,00:47,2,2
18,0,00:47,03:35,2,2
19,1,03:35,03:45,2,2
20,0,03:45,,2,2
21,3,08:55,09:15,2,2
22,12,00:00,00:10,2,2
23,12,03:35,03:45,2,2
0,5,10:30,10:45,1,20
1,7,15:00,17:30,1,20
2,7,19:00,20:00,1,20
3,8,21:30,23:30,1,20
4,0,00:45,07:40,2,20
5,3,07:45,08:15,2,20
6,6,10:00,10:02,1,20
7,9,10:15,10:16,1,20
8,6,13:30,14:00,1,20
9,9,13:30,14:00,1,20
10,6,20:30,21:15,1,20
11,11,20:30,21:15,1,20
12,9,21:43,21:45,1,20
13,9,23:30,23:40,1,20
14,9,08:20,08:25,2,20
15,6,08:20,08:25,2,20
16,12,00:40,00:45,2,20
17,12,07:40,07:45,2,20
0,6,10:20,10:35,1,21
1,2,00:35,13:35,1,21
2,6,13:50,14:10,1,21
3,0,14:35,15:05,1,21
4,2,15:20,19:00,1,21
5,3,19:00,19:25,1,21
6,2,19:35,21:00,1,21
7,6,21:00,21:25,1,21
8,2,21:25,24:00,1,21
9,2,00:01,02:00,2,21
10,0,02:00,07:25,2,21
11,3,07:50,08:15,2,21
12,3,08:25,08:30,2,21
13,6,08:30,08:40,2,21
14,3,08:40,09:00,2,21
15,9,10:20,10:35,1,21
16,9,15:15,15:20,1,21
17,9,17:20,17:30,1,21
18,6,19:30,19:40,1,21
19,9,08:30,08:40,2,21
0,3,08:50,14:40,1,22
1,6,15:30,16:00,1,22
2,7,16:00,18:00,1,22
3,3,18:00,18:20,1,22
4,3,19:50,20:10,1,22
5,6,21:00,21:40,1,22
6,3,22:30,00:10,1,22
7,2,00:20,00:40,2,22
8,6,17:00,17:10,1,22
9,11,23:20,23:30,1,22
10,0,01:06,07:04,2,22
0,7,09:50,10:15,1,3
1,9,10:00,10:10,1,3
2,3,10:30,13:30,1,3
3,6,13:30,13:50,1,3
4,9,14:10,14:15,1,3
5,3,14:30,16:30,1,3
6,4,17:00,17:10,1,3
7,2,17:10,18:30,1,3
8,3,18:30,19:00,1,3
9,5,19:15,20:10,1,3
10,6,21:45,22:10,1,3
11,1,23:15,24:00,1,3
12,0,00:00,06:00,2,3
13,2,06:00,06:15,2,3
14,6,06:15,06:25,2,3
15,3,06:30,06:55,2,3
16,3,06:59,07:05,2,3
17,2,07:28,08:35,2,3
18,4,08:40,08:50,2,3
19,8,08:50,09:30,2,3
20,9,09:30,09:35,2,3
0,2,12:00,12:50,1,4
1,7,12:00,12:50,1,4
2,2,15:50,17:20,1,4
3,7,15:50,17:20,1,4
4,2,18:50,19:00,1,4
5,7,19:25,21:00,1,4
6,8,22:00,24:00,1,4
7,2,00:30,00:35,2,4
8,1,00:35,00:36,2,4
9,0,00:36,07:10,2,4
10,2,07:10,07:15,2,4
11,2,08:40,08:55,2,4
12,9,09:45,09:55,1,4
13,6,09:45,09:55,1,4
14,6,13:30,14:10,1,4
15,6,19:10,19:25,1,4
16,6,21:00,21:45,1,4
17,12,00:30,00:35,2,4
18,12,07:10,07:15,2,4
0,3,09:50,10:00,1,5
1,3,10:20,11:00,1,5
2,2,11:00,13:00,1,5
3,7,11:00,12:30,1,5
4,0,14:15,15:00,1,5
5,2,17:45,20:00,1,5
6,2,22:00,22:45,1,5
7,7,22:00,22:45,1,5
8,6,10:00,10:10,1,5
9,6,13:15,13:45,1,5
10,6,17:30,17:40,1,5
11,6,20:30,21:30,1,5
12,6,08:00,08:10,2,5
13,9,10:00,10:10,1,5
14,9,08:00,08:10,2,5
15,0,23:56,24:00,1,5
16,0,00:01,06:42,2,5
0,3,10:39,10:46,1,6
1,2,10:46,11:04,1,6
2,7,11:10,12:48,1,6
3,5,12:48,13:03,1,6
4,3,13:03,13:35,1,6
5,7,14:29,14:57,1,6
6,8,14:57,16:00,1,6
7,2,16:34,16:59,1,6
8,7,16:59,17:40,1,6
9,2,17:46,19:03,1,6
10,3,19:03,19:24,1,6
11,6,19:39,20:51,1,6
12,2,22:33,23:45,1,6
13,2,23:48,23:55,1,6
14,8,23:55,24:00,1,6
15,8,00:01,01:47,2,6
16,0,02:10,09:10,2,6
17,3,09:10,09:46,2,6
18,2,09:46,10:00,2,6
19,6,13:43,14:06,1,6
20,6,18:29,18:29,1,6
21,9,21:13,21:15,1,6
0,3,10:00,10:30,1,7
1,2,10:30,13:00,1,7
2,6,13:00,14:30,1,7
3,3,14:30,18:30,1,7
4,3,18:30,20:00,1,7
5,6,20:00,21:30,1,7
6,8,21:30,23:30,1,7
7,2,23:30,23:35,1,7
8,0,23:35,09:00,1,7
9,3,09:00,09:05,2,7
10,12,23:30,23:35,1,7
11,12,09:00,09:05,2,7
0,2,12:10,10:35,1,8
1,3,10:50,11:00,1,8
2,2,11:00,12:05,1,8
3,3,12:05,12:40,1,8
4,2,12:45,13:35,1,8
5,0,12:45,13:35,1,8
6,3,14:00,19:10,1,8
7,5,19:30,20:45,1,8
8,3,20:55,21:10,1,8
9,2,21:20,21:30,1,8
10,8,22:30,23:25,1,8
11,0,00:00,02:15,2,8
12,2,02:15,02:25,2,8
13,0,02:25,07:10,2,8
14,2,07:25,07:35,2,8
15,2,07:55,07:35,2,8
16,6,10:35,10:45,1,8
17,9,10:35,10:45,1,8
18,6,13:45,14:00,1,8
19,9,13:45,14:00,1,8
20,6,21:30,22:10,1,8
21,6,07:35,07:50,2,8
22,9,07:35,07:50,2,8
23,12,02:15,02:20,2,8
24,12,07:25,07:30,2,8
0,7,11:00,13:30,1,9
1,6,13:30,14:30,1,9
2,0,14:30,15:30,1,9
3,7,15:30,19:00,1,9
4,5,19:00,19:30,1,9
5,3,19:30,20:00,1,9
6,5,20:00,20:30,1,9
7,3,23:30,21:00,1,9
8,3,21:00,21:10,1,9
9,6,21:10,22:00,1,9
10,8,22:00,23:30,1,9
11,2,23:30,23:40,1,9
12,3,23:40,23:50,1,9
13,0,23:50,05:15,2,9
14,1,05:15,05:25,2,9
15,0,05:25,09:00,2,9
16,6,11:10,11:20,1,9
17,12,23:30,23:40,1,9
18,12,05:15,05:25,2,9
